ticker;site;headline;date
GOOG;cnbc;Travel giant Booking spent $1 billion on Google ads in;2018-11-06
TSLA;theguardian;Transport safety body rules safeguards 'were lacking' in;2017-09-12
AMZN;theguardian;Trans woman sues Amazon over alleged discrimination at;2017-08-09
GOOG;nytimes;Tracking the Demise of My Marriage on Google Maps;2019-01-04
GOOG;nytimes;Tracking Phones, Google Is a Dragnet for the Police;2019-04-13
AAPL;wsj;Tracking Foxconn Chief's Rise From 'Dirt City' to iPhone King;2016-03-31
TSLA;bloomberg;Toyota Says It Sold Entire Stake in Tesla in 2016;2017-06-03
MSFT;reuters;Toyota expands Microsoft partnership in connected vehicle;2016-04-04
AAPL;theguardian;Touchscreen chip flaw renders some iPhone 6 and 6 Plus;2016-08-24
MSFT;cnbc;Top VC deals: Microsoft buys Github, Ant Financial raises;2018-06-10
TSLA;cnbc;Top VC deals: Elon Musk backs Boring Company, Tiger;2018-04-20
AMZN;theguardian;Top Gear's Clarkson, Hammond and May sign Amazon deal;2015-07-30
GOOG;bbc;Tony Fadell: What will Google's $3.2bn guru do next?;2015-07-24
GOOG;nytimes;Tony Fadell Steps Down Amid Tumult at Nest, a Google;2016-06-03
GOOG;bbc;Tom Longboat: Google doodle honours Canadian;2018-06-04
GOOG;cnbc;Toby Cosgrove, former Cleveland Clinic CEO turned;2018-11-04
AAPL;nytimes;To Woo Apple, Foxconn Bets $3.5 Billion on Sharp;2016-03-30
AMZN;nytimes;To Trump, It's the 'Amazon Washington Post.' To Its Editor;2018-04-02
MSFT;nytimes;To Close Digital Divide, Microsoft to Harness Unused;2017-07-11
TSLA;bloomberg;To Californians, It Looked Like a UFO. To Elon Musk;2017-12-23
TSLA;bloomberg;Tired of Waiting on Tesla? Formula E Racers Now for Sale;2018-08-14
GOOG;bloomberg;Tinder Bypasses Google Play Joining Revolt Against App;2019-07-19
TSLA;theguardian;Timeline: Elon Musk's 'difficult and painful' 2018;2018-08-19
